,0
0,{α}
1,{α}
2,{other}
3,{α}
4,{α}
5,{α}
6,{α}
7,{α}
8,{α}
9,{α}
10,"{α, μ}"
11,{α}
12,{α}
13,{}
14,{α}
15,{α}
16,{α}
17,{}
18,{α}
19,{α}
20,"{α, γ}"
21,{α}
22,{α}
23,{α}
24,"{α, β}"
25,{α}
26,{α}
27,{α}
28,"{α, β}"
29,{α}
30,{α}
31,{α}
32,"{α, ε, η}"
33,{α}
34,"{α, η}"
35,"{α, δ}"
36,{α}
37,"{α, γ}"
38,"{α, ε}"
39,{α}
40,{other}
41,{α}
42,{α}
43,{α}
44,{α}
45,{α}
46,"{α, η}"
47,{α}
48,{α}
49,{α}
50,{α}
51,{α}
52,{α}
53,{α}
54,"{α, η}"
55,{α}
56,{α}
57,{α}
58,"{α, η}"
59,{α}
60,{α}
61,{α}
62,"{α, η}"
63,{other}
64,{α}
65,{α}
66,{α}
67,{α}
68,{α}
69,{α}
70,{α}
71,{}
72,{α}
73,{α}
74,{α}
75,{}
76,{α}
77,{α}
78,{α}
79,{α}
80,{α}
81,"{α, β}"
82,{α}
83,"{α, δ}"
84,{α}
85,{α}
86,{α}
87,{α}
88,{α}
89,{}
90,"{α, γ}"
91,{α}
92,"{α, ε, η}"
93,{α}
94,{α}
95,{α}
96,{α}
97,{α}
98,{α}
99,{other}
100,{α}
101,{α}
102,{other}
103,"{α, β}"
104,"{α, μ}"
105,"{α, η}"
106,{α}
107,{other}
108,{α}
109,{α}
110,"{α, δ}"
111,"{α, γ}"
112,"{α, γ}"
113,{α}
114,"{α, η}"
115,{α}
116,{other}
117,"{α, γ}"
118,{α}
119,"{α, η}"
120,{α}
121,{α}
122,{α}
123,"{α, ψ}"
124,{α}
125,{α}
126,{α}
127,{α}
128,{α}
129,{α}
130,{α}
131,"{α, γ}"
132,{α}
133,{α}
134,{α}
135,{α}
136,{α}
137,"{α, γ}"
138,{α}
139,{α}
140,{α}
141,{}
142,"{α, ε}"
143,{α}
144,{}
145,{α}
146,{α}
147,"{α, γ}"
148,"{α, η}"
149,{α}
150,{α}
151,"{α, γ}"
152,{α}
153,{α}
154,{α}
155,{α}
156,{}
157,{α}
158,{α}
159,"{α, η}"
160,{α}
161,"{α, β}"
162,{α}
163,{}
164,{}
165,{α}
166,"{α, γ}"
167,{α}
168,{α}
169,{α}
170,{α}
171,{α}
172,{α}
173,{α}
174,{α}
175,"{α, θ}"
176,{α}
177,{α}
178,{other}
179,{α}
180,"{α, η}"
181,"{α, γ}"
182,{α}
183,{α}
184,{α}
185,{α}
186,{α}
187,{α}
188,{α}
189,"{α, η}"
190,{α}
191,{}
192,{α}
193,{α}
194,{α}
195,{α}
196,{α}
197,{}
198,"{α, β}"
199,"{α, ψ}"
200,{α}
201,{α}
202,{}
203,{α}
204,"{α, γ}"
205,{α}
206,{α}
207,{α}
208,{α}
209,"{α, β}"
210,{α}
211,{α}
212,"{α, η}"
213,{α}
214,"{α, ε, η}"
215,{}
216,{α}
217,{other}
218,"{α, ε}"
219,{α}
220,{}
221,{α}
222,{α}
223,{α}
224,{α}
225,{α}
226,{}
227,{α}
228,{}
229,{α}
230,"{α, δ}"
231,{α}
232,"{α, γ}"
233,{}
234,"{α, η}"
235,{other}
236,"{α, γ}"
237,{α}
238,{α}
239,{α}
240,{α}
241,{α}
242,{α}
243,{α}
244,"{α, η}"
245,"{α, η}"
246,{α}
247,{α}
248,{α}
249,{}
250,"{α, β}"
251,{α}
252,{other}
253,{α}
254,{α}
255,{α}
256,{α}
257,{other}
258,{}
259,{α}
260,{α}
261,"{α, β}"
262,"{α, θ}"
263,"{α, ε}"
264,{other}
265,{α}
266,{}
267,"{α, ε}"
268,{α}
269,{α}
270,{α}
271,{α}
272,"{α, ε}"
273,{α}
274,{α}
275,{α}
276,{α}
277,{α}
278,{α}
279,{α}
280,{α}
281,"{α, γ}"
282,{α}
283,{α}
284,"{α, γ}"
285,{α}
286,{α}
287,{α}
288,{}
289,{α}
290,{α}
291,{α}
292,{α}
293,{α}
294,{α}
295,{α}
296,{α}
297,"{α, ε}"
298,{}
299,"{α, η}"
300,{α}
301,{α}
302,{α}
303,"{α, ψ}"
304,{}
305,{α}
306,{α}
307,{α}
308,{α}
309,{}
310,{α}
311,{α}
312,"{α, γ}"
313,{}
314,{}
315,{α}
316,{α}
317,{α}
318,"{α, η}"
319,"{α, ε}"
320,{α}
321,{α}
322,{α}
323,{α}
324,"{α, δ}"
325,{α}
326,{α}
327,{α}
328,{α}
329,{α}
330,{α}
331,{α}
332,{α}
333,{α}
334,{α}
335,{α}
336,"{α, η}"
337,{α}
338,{α}
339,{α}
340,{other}
341,{α}
342,{other}
343,{α}
344,"{α, η}"
345,"{α, γ}"
346,{α}
347,{α}
348,{α}
349,{α}
350,{α}
351,{α}
352,"{α, ε}"
353,{α}
354,{α}
355,{other}
356,{α}
357,"{α, η}"
358,{α}
359,{α}
360,{α}
361,"{α, η}"
362,{α}
363,{α}
364,{α}
365,"{α, η}"
366,"{α, η}"
367,{α}
368,{α}
369,{α}
370,{α}
371,"{α, η}"
372,{α}
373,{α}
374,"{α, η}"
375,{α}
376,"{α, η}"
377,{other}
378,{other}
379,{other}
380,{α}
381,{α}
382,{α}
383,{α}
384,{α}
385,{α}
386,{}
387,{α}
388,{α}
389,{α}
390,{}
391,{α}
392,{α}
393,{other}
394,{α}
395,{α}
396,"{α, γ}"
397,{α}
398,{α}
399,"{α, η}"
400,{α}
401,{other}
402,{α}
403,{other}
404,{α}
405,{α}
406,{α}
407,{α}
408,{α}
409,{α}
410,"{α, β}"
411,{α}
412,{other}
413,{α}
414,{α}
415,{α}
416,{α}
417,{α}
418,{α}
419,{α}
420,{other}
421,{α}
422,"{α, η}"
423,"{α, η}"
424,{α}
425,{α}
426,"{α, β}"
427,{α}
428,{α}
429,{α}
430,{α}
431,{α}
432,{α}
433,{α}
434,{α}
435,{α}
436,"{α, η}"
437,"{α, η}"
438,{α}
439,"{α, ψ}"
440,{α}
441,{α}
442,"{α, η}"
443,"{α, γ}"
444,{α}
445,{α}
446,{α}
447,"{α, η}"
448,{}
449,{α}
450,{α}
451,{other}
452,{α}
453,"{α, ε}"
454,{α}
455,{α}
456,{α}
457,{α}
458,{α}
459,{α}
460,{α}
461,{α}
462,{α}
463,{α}
464,{α}
465,{α}
466,{α}
467,{α}
468,"{α, γ}"
469,"{α, γ}"
470,{α}
471,{α}
472,{α}
473,"{α, β}"
474,{α}
475,{}
476,{α}
477,{α}
478,{}
479,"{α, β}"
480,{α}
481,{α}
482,{α}
483,{α}
484,{α}
485,{α}
486,{α}
487,{α}
488,{α}
489,{α}
490,{α}
491,{α}
492,{other}
493,{α}
494,{α}
495,{α}
496,"{α, μ}"
497,{}
498,{α}
499,{α}
500,{other}
501,"{α, γ}"
502,"{α, η}"
503,{α}
504,{α}
505,{α}
506,{α}
507,{α}
508,{α}
509,{}
510,"{α, η}"
511,"{α, η}"
512,{α}
513,{α}
514,{α}
515,{α}
516,{α}
517,{α}
518,{α}
519,{α}
520,{α}
521,"{α, δ}"
522,"{α, β}"
523,"{α, γ}"
524,{α}
525,{α}
526,"{α, η}"
527,{}
528,{α}
529,{α}
530,{α}
531,{α}
532,"{α, η}"
533,{}
534,{α}
535,{}
536,{α}
537,{α}
538,{α}
539,{α}
540,"{α, η}"
541,{α}
542,"{α, γ}"
543,{α}
544,"{α, γ}"
545,{α}
546,{α}
547,{α}
548,"{α, η}"
549,{α}
550,{α}
551,{α}
552,{α}
553,"{α, γ}"
554,"{α, ε}"
555,{α}
556,"{α, η}"
557,{α}
558,"{α, η}"
559,{α}
560,{α}
561,{α}
562,"{α, η}"
563,{α}
564,"{α, η}"
565,{α}
566,{α}
567,"{α, ε}"
568,{α}
569,"{α, δ}"
570,{}
571,{α}
572,{other}
573,{α}
574,{α}
575,{α}
576,{α}
577,"{α, λ}"
578,{α}
579,{α}
580,{α}
581,{α}
582,{α}
583,{α}
584,{α}
585,{α}
586,"{α, η}"
587,{α}
588,{α}
589,{α}
590,{α}
591,{α}
592,{α}
593,{α}
594,{other}
595,{α}
596,"{α, γ}"
597,{α}
598,{}
599,{α}
600,{α}
601,{α}
602,{α}
603,{α}
604,{α}
605,"{α, γ}"
606,{α}
607,{α}
608,"{α, δ}"
609,{}
610,{α}
611,{α}
612,{α}
613,"{α, η}"
614,{α}
615,{α}
616,{α}
617,{α}
618,{α}
619,"{α, η}"
620,{α}
621,{α}
622,"{α, δ}"
623,"{α, η}"
624,"{α, η}"
625,"{α, η}"
626,{α}
627,"{α, η}"
628,{α}
629,{α}
630,{α}
631,{α}
632,{α}
633,"{α, γ}"
634,"{α, η}"
635,{other}
636,{α}
637,"{α, ε}"
638,{α}
639,{α}
640,{α}
641,{}
642,{α}
643,{α}
644,{α}
645,{α}
646,{α}
647,"{α, η}"
648,{α}
649,"{α, ε}"
650,{α}
651,{α}
652,{α}
653,{α}
654,{α}
655,{α}
656,"{α, λ}"
657,{α}
658,{α}
659,{α}
660,"{α, η}"
661,{α}
662,{α}
663,{α}
664,{}
665,"{α, η}"
666,{α}
667,{α}
668,{α}
669,{α}
670,{α}
671,{α}
672,{α}
673,{α}
674,{α}
675,"{α, η}"
676,"{α, γ}"
677,"{α, γ}"
678,{α}
679,{α}
680,{α}
681,{α}
682,"{α, η}"
683,{α}
684,{α}
685,{α}
686,{α}
687,{α}
688,{α}
689,{α}
690,{α}
691,{α}
692,"{α, η}"
693,{α}
694,"{α, η}"
695,{α}
696,{other}
697,{α}
698,{α}
699,{α}
700,{α}
701,{}
702,{other}
703,{α}
704,"{α, β}"
705,{α}
706,{α}
707,{α}
708,{α}
709,{α}
710,{}
711,{α}
712,"{α, η}"
713,"{α, η}"
714,{α}
715,{α}
716,{α}
717,{α}
718,{α}
719,"{α, γ}"
720,"{α, η}"
721,{α}
722,"{α, γ}"
723,"{α, η}"
724,{α}
725,"{α, η}"
726,{α}
727,{α}
728,"{α, λ}"
729,{α}
730,"{α, δ}"
731,{other}
732,{α}
733,"{α, η}"
734,{α}
735,{α}
736,{α}
737,{α}
738,{α}
739,{α}
740,"{α, γ}"
741,{α}
742,{α}
743,"{α, γ}"
744,"{α, η}"
745,{α}
746,{α}
747,"{α, γ}"
748,{α}
749,{α}
750,"{α, θ}"
751,{α}
752,"{α, ε}"
753,{other}
754,{α}
755,"{α, η}"
756,{α}
757,{α}
758,"{α, γ}"
759,"{α, η}"
760,{α}
761,{α}
762,{α}
763,{other}
764,{α}
765,{α}
766,"{α, γ}"
767,{α}
768,{α}
769,{α}
770,{α}
771,{α}
772,{α}
773,"{α, η}"
774,{α}
775,{α}
776,{α}
777,{α}
778,{α}
779,{α}
780,{α}
781,"{α, η}"
782,{α}
783,{α}
784,{α}
785,{α}
786,{α}
787,"{α, η}"
788,{α}
789,{}
790,{α}
791,{α}
792,{α}
793,{α}
794,"{α, γ}"
795,{α}
796,"{α, η}"
797,{α}
798,{α}
799,{α}
800,{α}
801,{α}
802,{α}
803,{α}
804,{α}
805,"{α, γ}"
806,{α}
807,{other}
808,{α}
809,{α}
810,{α}
811,{α}
812,{α}
813,{α}
814,{α}
815,{α}
816,{α}
817,{α}
818,{other}
819,{α}
820,{α}
821,{α}
822,{α}
823,{α}
824,{α}
825,{α}
826,{other}
827,{α}
828,{α}
829,{α}
830,"{α, γ}"
831,{α}
832,{α}
833,{α}
834,{α}
835,"{α, δ}"
836,{}
837,{α}
838,{α}
839,{α}
840,{α}
841,{α}
842,{α}
843,{α}
844,"{α, δ}"
845,{α}
846,{α}
847,{α}
848,{}
849,{other}
850,{α}
851,{α}
852,{other}
853,{α}
854,"{α, δ}"
855,{α}
856,"{α, η}"
857,{α}
858,{α}
859,"{α, γ}"
860,{α}
861,{α}
862,{α}
863,{α}
864,{α}
865,{α}
866,{}
867,{α}
868,{α}
869,{α}
870,{α}
871,{α}
872,{α}
873,{α}
874,{α}
875,{α}
876,"{α, β}"
877,{α}
878,"{α, η}"
879,{α}
880,{α}
881,{α}
882,{α}
883,{α}
884,"{α, γ}"
885,{}
886,{α}
887,{α}
888,"{α, η}"
889,{α}
890,{α}
891,{α}
892,{α}
893,{other}
894,{α}
895,{α}
896,{}
897,{α}
898,{α}
899,{α}
900,{α}
901,{α}
902,{α}
903,"{α, ε, η}"
904,{α}
905,{α}
906,{other}
907,{other}
908,{α}
909,{α}
910,{other}
911,{α}
912,"{α, η}"
913,{α}
914,{other}
915,"{α, η}"
916,{other}
917,{α}
918,{α}
919,{}
920,{α}
921,"{α, δ}"
922,{α}
923,{}
924,"{α, η}"
925,{}
926,{α}
927,{α}
928,{}
929,"{α, λ}"
930,{α}
931,{α}
932,{α}
933,{α}
934,{α}
935,"{α, δ}"
936,{α}
937,{α}
938,{α}
939,{}
940,"{α, η}"
941,"{α, γ}"
942,{α}
943,{α}
944,"{α, θ}"
945,{α}
946,"{α, γ}"
947,{α}
948,{}
949,{}
950,{α}
951,{α}
952,{α}
953,{α}
954,{other}
955,{α}
956,{α}
957,{}
958,"{α, ε}"
959,"{α, γ}"
960,{other}
961,{α}
962,"{α, γ}"
963,{α}
964,{α}
965,{α}
966,{α}
967,{α}
968,"{α, η}"
969,{α}
970,{α}
971,{α}
972,{α}
973,{α}
974,{}
975,{}
976,{α}
977,"{α, γ}"
978,"{α, θ}"
979,{α}
980,{}
981,{}
982,"{α, β}"
983,"{α, θ}"
984,{α}
985,{α}
986,{α}
987,"{α, γ}"
988,{α}
989,{α}
990,{α}
991,{α}
992,{α}
993,{α}
994,{α}
995,"{α, η}"
996,{α}
997,{α}
998,{other}
999,{α}
1000,{other}
1001,{other}
1002,"{α, η}"
1003,{α}
1004,{α}
1005,{α}
1006,{α}
1007,{α}
1008,"{α, ε}"
1009,{α}
1010,{α}
1011,{α}
1012,"{α, γ}"
1013,"{α, θ}"
1014,{α}
1015,"{α, γ}"
1016,"{α, β}"
1017,{α}
1018,{α}
1019,{α}
1020,{α}
1021,{α}
1022,{α}
1023,{α}
1024,{α}
1025,{α}
1026,{α}
1027,"{α, β}"
1028,"{α, γ}"
1029,{α}
1030,{α}
1031,{α}
1032,{α}
1033,{α}
1034,{other}
1035,{α}
1036,{other}
1037,{α}
1038,{α}
1039,{}
1040,{}
1041,"{α, δ}"
1042,"{α, β}"
1043,{α}
1044,"{α, γ}"
1045,{α}
1046,{α}
1047,{α}
1048,{α}
1049,"{α, η}"
1050,{α}
1051,{α}
1052,{}
1053,{α}
1054,{α}
1055,{}
1056,"{α, θ}"
1057,{α}
1058,{α}
1059,"{α, η}"
1060,{other}
1061,{α}
1062,{α}
1063,"{α, η}"
1064,{α}
1065,{α}
1066,{}
1067,"{α, γ}"
1068,{}
1069,"{α, η}"
1070,{α}
1071,{α}
1072,{α}
1073,{α}
1074,{α}
1075,{α}
1076,"{α, η}"
1077,{α}
1078,{α}
1079,{α}
1080,"{α, β}"
1081,{α}
1082,{α}
1083,{α}
1084,"{α, η}"
1085,{α}
1086,"{α, γ}"
1087,"{α, η}"
1088,{α}
1089,{α}
1090,"{α, μ}"
1091,{}
1092,{α}
1093,{α}
1094,"{α, β}"
1095,"{α, ε}"
1096,"{α, η}"
1097,"{α, η}"
1098,{α}
1099,{α}
1100,{α}
1101,{}
1102,{α}
1103,"{α, δ}"
1104,"{α, η}"
1105,{}
1106,{α}
1107,"{α, θ}"
1108,"{α, β}"
1109,{α}
1110,{α}
1111,{other}
1112,{α}
1113,{α}
1114,"{α, β}"
1115,{α}
1116,{α}
1117,{α}
1118,{α}
1119,{}
1120,"{α, γ}"
1121,{α}
1122,{α}
1123,{}
1124,{α}
1125,{α}
1126,"{α, η}"
1127,{α}
1128,{}
1129,{α}
1130,{α}
1131,{α}
1132,{α}
1133,"{α, ε}"
1134,"{α, η}"
1135,{other}
1136,{α}
1137,{α}
1138,{α}
1139,{α}
1140,{α}
1141,{other}
1142,{α}
1143,{α}
1144,"{α, η}"
1145,"{α, η}"
1146,"{α, η}"
1147,{α}
1148,{α}
1149,{α}
1150,{α}
1151,{α}
1152,{α}
1153,{α}
1154,"{α, η}"
1155,{α}
1156,{α}
1157,{α}
1158,{α}
1159,{}
1160,{α}
1161,{α}
1162,{α}
1163,{α}
1164,{α}
1165,{α}
1166,{α}
1167,{α}
1168,{α}
1169,{α}
1170,{other}
1171,{other}
1172,{α}
1173,{α}
1174,{α}
1175,{α}
1176,{α}
1177,{α}
1178,"{α, γ}"
1179,"{α, η}"
1180,{α}
1181,{α}
1182,{α}
1183,{α}
1184,{}
1185,{α}
1186,{α}
1187,{α}
1188,{α}
1189,{α}
1190,{α}
1191,{other}
1192,{α}
1193,{α}
1194,{α}
1195,{α}
1196,{α}
1197,{α}
1198,{α}
1199,{α}
1200,{α}
1201,{α}
1202,{α}
1203,{other}
1204,{α}
1205,{α}
1206,{}
1207,{α}
1208,{α}
1209,{α}
1210,{α}
1211,{α}
1212,{α}
1213,{}
1214,"{α, μ}"
1215,{α}
1216,"{α, η}"
1217,{α}
1218,{}
1219,{}
1220,{α}
1221,{α}
1222,{α}
1223,"{α, η}"
1224,{α}
1225,{α}
1226,{α}
1227,"{α, γ}"
1228,{α}
1229,{α}
1230,"{α, γ}"
1231,{α}
1232,{α}
1233,{α}
1234,"{α, ε, η}"
1235,{α}
1236,{α}
1237,"{α, η}"
1238,{α}
1239,{α}
1240,{α}
1241,{α}
1242,{other}
1243,"{α, β}"
1244,{α}
1245,{α}
1246,{other}
1247,{α}
1248,{}
1249,{α}
1250,{α}
1251,{α}
1252,{α}
1253,{α}
1254,{α}
1255,{α}
1256,{}
1257,{}
1258,{α}
1259,"{α, γ}"
1260,"{α, η}"
1261,{α}
1262,{α}
1263,{α}
1264,{α}
1265,{α}
1266,{α}
1267,{}
1268,{α}
1269,{α}
1270,{}
1271,{α}
1272,{α}
1273,{α}
1274,{α}
1275,{α}
1276,{α}
1277,"{α, η}"
1278,{α}
1279,"{α, δ}"
1280,{α}
1281,{α}
1282,{α}
1283,"{α, γ}"
1284,{α}
1285,{other}
1286,{α}
1287,"{α, η}"
1288,{α}
1289,"{α, β}"
1290,{α}
1291,{α}
1292,{other}
1293,{α}
1294,{α}
1295,{α}
1296,{α}
1297,{α}
1298,{α}
1299,{α}
1300,{α}
1301,{α}
1302,{α}
1303,{α}
1304,{α}
1305,"{α, θ}"
1306,{α}
1307,{α}
1308,{α}
1309,{other}
1310,{α}
1311,{}
1312,{α}
1313,{α}
1314,{α}
1315,{α}
1316,"{α, ψ}"
1317,{α}
1318,{α}
1319,{α}
1320,{α}
1321,{α}
1322,{}
1323,{α}
1324,"{α, γ}"
1325,{α}
1326,{}
1327,{α}
1328,{}
1329,{}
1330,"{α, η}"
1331,{}
1332,{α}
1333,{}
